,Content,Polarity
121,sguein quien es el tap del pso la respuest esta en mi blog {link} ha leid dos libr era una metafor,
123,- rt cacmalag {link} cacmalag #art #cultur #pintur #muse #museums,
124,rajoy quier que españ vuelv a ten relev en europ {link},
125,polit q no respond en ningun pais dl mund homolog al nstro se toler semej practic {link} via antonl,
126,evaoreg antonl obvi cont que son declar q no ha permit pregunt,
127,no pod falt dominguit en mi tierr y final de la davis con el cuña carlos_muel {link},
128,palm por sevillan par anim a raf #sevillaciudadtalism #copadavis,
131,'chic & rita' premi europe a la mejor cint de anim {link},
132,vam equip vam nadal tod españ esta en tu man eres el mejor y contig tod vam a ser campeon tambien elorri,
133,otro passing escalofri sobr la line pon a nadal a en el tercerol ensalader mas cerca#vamosraf #copadavis ole rafaelnadal,
135,dic q esta el rey en la cartuj hoy es el dia en q tve tendr q sac tod el ratohac patri ser la imparcial,
137,“beagarciachv edurnity mi segund apell es camell tendr algo que ver con los rey magos”t doy mi cart y se la dasjajj bss,
138,“marinitamf edurnity ojo que yo me apell mol tal cual y no es broma” seri com mol jajjaj,
139,viaj a las embaj catalan del derroch - abces {link} via abc_es,
140,este set lo esta gan el public argentin del potr hab tir la toall comenz a cant y van gan raf pued #vamosraf,
141,“ryankuletz cre que edurnity se ha puest a respond tweets sobr apell por el iphon #cosasquenuncaentender ”jaajjajajj,
142,amonest el public argentin en la cartuj,
143,y raf salud a tod el equip argentin que tall de campeon,
144,la quint ensalader nadal salud al equip argentin y ahor al public oe oe oe,
145,ya esta aqu ya lleg por fin la quint ensalader graci a tod los miembr del equip hoy much gent dorm feliz,
146,que grand ese abraz de nadal con tod el equip argentin impresion com sab gan este campeon,
147,grandios raf nadal,
148,el public que cant grit sin par por eso yo te quier dar raf mi corazon yo te sig a tod part ¡graci por ser español,
152,felic a rafaelnadal y a tod el equip español de cop davis tod un ejempl de esfuerz ilusion y super rbcb,
155,fantast a cual mejor “marisolcovel que os parec mi fot de #elprimernaufragi {link} {link},
156,fin a la impun en #internet {link},
157,a mi me parec muy dign que la ministr italian de trabaj llor no me lo parec las ris de berlusconi,
159,en el blog lagrim tecnocrat {link},
160,los ministr d marianorajoy fin de la ineptocraci semanaldigital ppopul {link},
161,port de public de mañan urdangarin sa dentr la list de las entidad que pag a noos {link},
162,a por crackoviadetv buen dias quer twiter,
163,graci venezuel {link},
164,bdi elisabeth estoy muy orgull de que em hay localiz en un remot lug de rumani al testig que no acud al juici,
165,com se explic que mil de español se ausent en mas del trabaj durant el puent mientr en españ hay millon de par,
166,mas es president autonom porqu ten autogobiern graci a la constitucionper ni la cumpl ni la hac cumpl #fueradelaley,
167,sobr accident rt santigonzalez el hab lleg antes {link},
169,dani garc recog en un libr tap par acerc la cocin a la socied {link},
171,el gobiern chin cre que el pais no esta prepar par protest social - {link},
174,upyd y amaiur recurrir a la justici si no logr grup la justici ya dio tod el pod a la mes del congres en cas simil,
177,y mientr tant el verdader problem se agrav año tras año {link},
179,que bonit desplieg de segur en alfons xii contravigil en tod la manzan y no es nadi del gobiern,
180,uno de los desafi del period encontr su siti par no perd la vigil del pod via clarin_com {link},
181,el ppandaluz no acept el caramel de una president de dos años en la famp si no hay refund {link} europapress_,
182,si rarit q som si yo fuer españ y se trat de eleg entre o años de caos y o en la miseri {link},
183,rt perezhilton paurubi que trist es esto pau {link} jonahmowryreal &lt {link},
184,jooooo - rt xavicond me dic tonicant que quier rap una estrof del villanc lo sient toni aqu ten a padrinomc,
187,detien a dos sospech por secuestr cooper español en tinduf intent vend a aqmi {link} v plazar,
190,tod suy “juliosandreu si sr la he grab un salud desd el otro lad jej de españ buen tarde”,
192,entiend los unfollow acept el desconciert y hast reconoc error per cre fuer de lug anunci venganz radiofon eso no,
193,- rt carlosserrat #fw par mariviromer y much suert con tu primer entrev aqu el hastag es #ynterviumarivi,
194,españ gast mas en sanid que tof el presupuest en sanid nuñez feijo en gato_direct,
195,a las mi primer entrev en direct en twitt si quier segu busc el hastag #ynterviumarivi l {link},
196,feliz dia del voluntari los hëro anon los del sacrifici por eleccion propi graci por tant,
197,graci rt pepem #ynterviumarivi interes la entrev de mariviromer nuev herramient nuev form de comunic,
198,graci a ti pac rt pacorengel #ynterviumarivi mariviromer muchisim graci un bes la cuelg en un ratit en {link},
199,aunqu en menor med tambien lo son much que no son madr ejoan supermujer gran post de virginiapalons {link},
200,una vez q ha habl el protector franco-aleman la europ a o veloc esta hech ahor falt ver dond qued españ,
201,impresion enhorabuen a enpiedeguerr y un bes a chiquiesteb percebeir de dav beriain a por el goy {link},
202,sorgiñ culebr cabron negr de barb larg,
203,enough today la seman es larg y segur mas apasion de lo recomend,
204,me voy a leer un rat 'un dia mas con vida' de ryszard #kapuscinscki gran descubr del reporter polac {link},
206,despeg yaqu lind mi pais que lind mi gent --shak,
208,bon celebr su ultim fiest en el congres y la pregunt es si habr un viv españ con juanraluc y en rne par arranc,
209,trist rt joseplluiscerr rt skalistra pap nosotr que som catalan o fach barcelon cataluñ {link},
210,extorsion mafios por carl garc - en {link} via larazon_,
211,no se de que se sorprend algun el pp present unos presupuest tard sin negoci carg la univers recort derech,
212,se plante rajoy sub el iva {link},
213,¡constitu constitu ¡cuant viaj y com gratis se han dad en tu nombr feliz dia,
215,buen dias party tim,
217,hoy en el dia de la constitu me acuerd com cad dia de los millon de person baj en umbral de la pobrez #vivalaconstitucion,
218,monti dic que no cobr com prim ministr demagogi popul par hac trag el ricin de los recort la aristocraci financ,
221,chacon conf en la democraci intern de los part dia de la constitu #congres,
222,marianorajoy #congres primer ley ser desarroll reform constitu xra garantiz estabil presupuestari lo dir #zp n brusel,
224,empiez el acto de homenaj a la constitu con el proxim president del gobiern #vivalaconstitucion {link},
225,bon a zp has dad lo mejor de ti a españ en un moment muy dificil a rajoy le dese aciert en sus decision x el bien de tod,
226,gallardon habl amig con zapater guerr con alons pepiñ recib el cariñ de period amig,
228,otro enchuf mas antes de que se vay zp {link},
229,rajoy romp su silenci en la fiest del congres plag de ausent {link},
231,las institu deb hac dl dia d l constitu fiest civic d todosdestac valor democrat y no acto par polit,
232,en algun ca com cataluñ ni siqu hay acto institucional en un dia com hoyn interes record #laconstitucionquenosun,
234,me agrad coincid con mi amig mechor en la denunci de las tecnic mafi en el euskadi,
235,dios mio es tan real que da mied ¡anim mamas trabaj nosotr pod supermujer {link},
237,ya yagriñan ve impos ser imput en el cas ere {link},
238,graci por segu rodolfoteson -,
241,y ahi va el editorial rt por favor cã³mo pas en el -m de impostor a testig de carg {link},
243,a ver se aclar lo de las entrad o que aqu los actor esper #terratpack {link},
244,el muse de la cuev de nerj abre con una prevision de visit al año {link},
246,“lhermoso_ period han sid asesin durant el ultim año en hondur {link},
247,ahor si que me desp a lav los piñ y ¨pa¨ la cam hol lucia_miguel un bes de buen noch par ti que veo que acab de lleg,
248,tu q sab segur q me has entend antoniocamun,
249,sinton total entre rajoy y zapater con import matic de rubalc la recepcion del dia de la constitu {link},
250,merkel y sarkozy se rind a los encant del president rajoy {link} via semanaldigital,
251,rt nurvac sr mas no garantiz una sanid public de calid universal es anticonstitucional por eso no celebr dia constitucion,
253,buen dias sin president del gobiern plen y sin verdader lid d la oposicion los part se pon d acuerd lueg es posibl,
256,europ se constru recort estad del bienest auster si per inteligent estad del bienest modern e inversion cre emple,
257,no dejeis de ver el vide que acab de rt con la declar de j- fija en bermudez en los minut y zougam merec otro juici,
258,#bdi vay tiemp que hac hoy niebl que parec que estam en la boc del lob y fri much fri apetec algo calent pal cuerp,
259,buen dias adjunt mi column hoy en abc_es sobr la neces d una reform constitucional {link},
260,de dond saldr el diner par el banc mal de rajoy segun el wsj {link},
261,a vosotr rt tudni graci marivi rt mariviromer me encant ver por aqui a tudni -,
262,sobr una amig y compañer de part {link},
263,interes analisis de iurquizu sobr los ret del social {link},
265,igualmente“susannagris te respond dentr de nuev mes buenafuent un inmens plac tenert hoy en espejopublico”,
267,a las en anotici los pilot de iberi pon en riesg el viaj de navid de mil de person huelg los dias y de diciembr,
269,quer potenci y estimul a los mejor alumn ser impart por profesor funcionari,
271,la novi de cristian ronald irin de nombr prefier jug sin camiset se ve que no apreci tant los color {link},
272,por que no se exig a los banc interven con diner public una line d credit par pymes autonom y nuev empres que contrat,
273,otra lectur navideñ recomend el ret de rajoy de oscareli y raf bardaj,
274,por que el felip suspend su cen conciabul se lo cont en el telediarioint,
275,sind echa man de chequer par benefici a sus amig se lo cont en nuestr top secret telediarioint,
276,andaluc pretend 'robar' los colegi de los cur y monj se lo cont en el telediarioint,
278,de la torr esper lleg a un acuerd con el puert por el trasl de los crucer {link},
279,el ayunt plante un proyect que mejor la accesibil del teatr roman {link},
280,yo nunc he dich eso “jorgealac martagller pedroj_ramirez per no hab qued en que fue eta”,
281,hoy en el gat juan rosell a favor del banc mal {link},
282,mañan cont en el pais la charl con la que iñaki urdangarin convenc a jaum mat par firm el conveni de noos de,
284,llam a iu antisistem por denunci la reform que los merc han hech a la constitu y ellos que son anticonstitucional,
285,jej rt mariadeonat tonicant lo sient per esta mañan me he echad unas ris a tu cost,
286,interes milit pso q vot deleg congres rt “reginomate guadalaj abriend camin {link} v martagaston,
289,una lastim lo de hoy per esto no termin aca en el futbol siempr hay revanch y ten equip par pel por grand cos,
290,a vosotr siempr - rt mnd mariviromer graci,
293,graci a los principal chil que se ha unid a {link} podeis visit la cont {link},
294,ahor dic que regal la cam al banc sabadell a carg del fond de garant se olvid del frob financi con fond public,
295,mis disculp a jcach por confund con jesus cach,
296,el duqu ofrec a mat su amist con leblanc par llev el tour a balear y logr el contrat del millon {link},
297,rajoy acab de entrar en la asamble del pp europe sonrient y a punt de comenz maraton de reunion,
298,la hereder en la sombr del imperi zar {link},
299,+ rt “carlos__alsin los lector de chav nogal de enhorabuen {link},
303,excelent resum de la present del ultim disc de beb escrit por fermin zabalegui maner {link},
305,y el menu increibl {link},
306,españ es el pais con mas sobrecualif laboral de tod la union europe {link},
308,sanchez_soni ya nos cont si explot europ com dic sarkozy,
309,rajoy cumpl lo que le mand la troik mas recort social el banc mal pag por los ciudadan y devalu emple y salari,
310,los vide sobr la final de la cop davis sub a youtub alcanz mas de visit #copadavis,
311,la bols baj la prim sub la razon que el bce sig neg a actu en el merc de la deud por el vet aleman,
314,el gobiern en funcion indult a dos empresari conden por defraud millon {link} / via iescol,
316,rt paquivicent cosmet de luj y una suit en moscu el despilfarr final de sind {link} ah bueeen es que la suit,
317,me parec indign que la ministr sind gast e por noch en un hotel de moscu con noch com famili de person mes,
318,q lo pag ellos rt joseantoniodelp mariviromer migar_ miguehijan ahora_andal ultim dias de mentir y gord salud,
319,es verd “nataliapastor per a miguel mont no el pres mas antigu de españ que llev años en la carcelvergonz y vomitivo”,
320,que bien esta icacabel en el telediarioint enhorabuen pelirroj,
321,ser tempran per yo me muer de sueñ que descans tod muak,
322,lo que has de hac hazl pront “rafiln isangeis pues mir cuand me lea epn de pedroj_ramirez me lo leer jaja”,
325,los lider de los sig discut sus portavoc vend que hay acuerd en el fond per que discut la form #euc,
326,hoy la ertzaintz ha descubiert unzulocon armament de eta ocult en mont de bizkai entre municipi de abadian y elorri,
327,curi del insomn rajoy pid pod de bloque sobr fond de rescat si no se lo dan ser fracas suy de zp o de los dos,
328,{link} os dej con las fot del conciert de palm de mallorc ver que visit de luj he recib esta noch,
329,paugasol hac dos diasmuch rumor estos dias yo me centr en el trabaj diari y en la ilusion de volv a jug con mi equipo”,
330,resum de la larg y agri noch en brusel pact fiscal sin rein unid y otros {link} by basteir #euc,
333,bdi que el rein unid se qued fuer indic que los pais del eur han dad un pas clav en la buen direccion de la union fiscal,
334,rajoy actu ayer por primer vez com jef de gobiern y entro en europ pis fuert promet y exig lo mism que hiz aznar,
337,ultim entrad de #zp al consej ue sonrient #euc,
339,a la ofens oid sord es jod cuand te arranc la mandibul de un zarpaz #malditosorc,
340,ahor #toolat zapater ofrec rigor en nombr de rajoy par recobr pes en la ue {link},
342,rt “ojomag un period obtien el document que explic a que tien mied el rein unid {link},
343,rt sanchez_soni papelon #zp entre el chipriot y el irlandes sin traductor y sin pod habl en adel el papelon ser de rajoy,
344,merkel sark y barros charl en pie cameron sent sol con car de enfad #euc,
345,encontr nuev zul con explos en el pais vasc mientr eta exist el camin es segu combat,
346,- rt juvenalsot mariviromer con tu permis me sum a ese #ff par borissol,
347,#ff a latanac y raquelmart porqu son las rein del mund y del mio,
348,jajajaj me rio por no llor rt xipiron tonicant en cub no hay una dictadur,
349,#ff par elenawilson ella ya sab,
350,increibl q aun exist gent que defiend el regim cubanoest veran en cub no oi a nadi hacerloes izquierd trasnoch español,
351,lo pas muy bien “maeugenialopez lidiasanzperez te recom que no le fall es un luj salud en person {link},
354,zapater dic que rajoy ha comprend perfect que no hay cal su ide del vet con sol el % par el fond de rescat europe,
355,graci chicos“quedicen_com paulavazqueztv la ultim estrell ya brill en anten {link} {link},
356,tunel de los roquill el hierr su cierr durant seman caus perd ecas consider {link},
357,en que se supon que ha ced merkel en esta dur negoci,
359,eso es - rt ccifuent juanansanznunez por supuest que nos ver en #sevill un besaz - mariviromer,
360,lo de guardiol no es una rued de prens es un alard de pacienci ojal ahor se transform en beb y nos echem unas ris,
361,iron por que le abandon,
364,tod mi apoy y mi cariñ a luis aizpeole gran period y excelent person,
365,¡lo mejor de mi timelin esta dispon {link} ▸ histori del dia por cfopabloalbor los_spain trendsmadr,
366,los mandamient par hac una buen campañ electoral {link},
367,€urop se £ibr nuestr conclusion de la cumbr del eur y el aislamient definit del rein {link},
368,este tem os dej hoy amigs sergi dalm y rafit que ser de mi buen noch bs {link},
369,que tragedi la de estos cuban que han perd la vid busc su libert este castr no pag ni {link},
370,no hay lector con algun problem muy particul que no lo encuentr mencion en la primer novel que se dec a leer iñaki uriart,
373,estoy hart del clasic que cansin tod el mund con el part cre que pep saldr con defens de,
374,jajaj me hac reir y much si fuer un pelot os dir que sois los mejor followers del mund per com soy yo os dig vais bien,
375,os gust la nuev aplic de twitt a mi me despist bastant que ventaj le veis sobr la anterior yo de moment ningun,
377,que teng un buen dia famili bes y abraz de gol par tods,
378,el boe public hoy el indult de alfred saenz con 'indulgent plenaria' es dec se borr excepcional los antecedent penal,
379,el indult a saenz borr los antecedent penal par q pued cumpl con la honorab q exig la normat bancari,
381,jajajajajj la mierd del nuev twitt locoooo me tien,
382,jesusmaran la charl entre enric gonzalez y mart gomez deb anim a cre {link} via el_pais,
384,“paquivicent hol rafam_simanc me hac un rt par encontr el perr de anapalaci en la fot esta la info {link},
387,encant en conocer “alipass {link} aqu en la redaccion de el mund graci ha sid tod un plac cc mondadientes”,
388,y los etarr encarcel no son unos pobr persegu por su pensamient son delincuent que por fanat han hech cos terribl,
389,muy buen rt latigoalcongr tonicant buen diput rt ple graci saludosel terc jinet {link},
390,habr que ir calent los motor par esta noch y no no es que vay a ver el clasic,
391,shakir gan ayer premi artist latin mas import e influyent en el mund y mejor artist int en lengu español shakirahq,
392,som conscient de la import cultural y musical de la sal maland por eso vam a busc solucion con su dueñ,
395,marodriguezb paugasol si y en una competicion realabiertan com los simulacr futboler d aquivamospauer y seras el mas grand,
397,el tribunal de cuent ve irregular en contrat del semestr europe presid por zapater {link} via larazon_,
398,la clav del part de hoy el mied si mou sac un equip par amarr gan el barc el madr sol pued gan si sal a gan,
399,je je“mely_rb que grand buenafuent y sus teloner #brotherneskens”,
400,he oid que esta noch millon de person veran el part madr miabuen suert a tod,
402,hoy ver el clasic en un pub de londr y con dos madrid de armas tom a ver si me llev una alegr,
403,que nadi se enfad per esta noch tambien pon en la tel el perr del hortelan la ultim y estupend pelicul de pil mir,
404,¡lo mejor de mi timelin esta dispon {link} ▸ histori del dia por anesv manoletusgarci weregorentandg jaime_fz,
405,no se com agradec tod las muestr de cariñ q he recib hoy aqu y fuer de aquin teng palabr graci infinit,
406,apag y vamon que mal pat,
408,felicitats barça/ madr qued lig #tomacomentariofutboler buen noch amig y graci por ser y estar,
411,“iaguirr en el conciert de esta noch de los secret en madr te ha mencion enriqu urquijo” la pantoj cre escuel,
412,a puntit de sal par charleston en baezapor ciert enhorabuen al fcb y a tod sus seguidor,
413,parec que desgraci ha fallec una person en guerrer,
414,“aprync david_bust ¡maaaj ¡bu viaj al parec los dañ del temblor no pas a mayor,
415,buen abraz par tods hast lueg,
416,pued encontr vici y tentacion en cad esquin {link},
417,merkozy se equivoc {link} via el_pais,
418,juanraluc no deb hab mas limit que las viej regl del ofici busc la verd verific respet buen practic period,
420,y reiter que no es una cuestion personal sin debat necesari que va mas alla de la profesion del periodismol red abre espaci nuev,
423,con mi herman igorbustam - {link},
425,nacho_plvapoy y foment el deport su practic y sus valorescr mas urgent recuper un ministeri com el de agricultur,
426,ya estam en japon son las h asi q hay que ir a dorm par que el jet lag se vay rap que sueñ,
429,vuelv a disney-,
430,nervi {link},
431,si me da tiemp os sub algun fot os quieroooo,
432,“r_agu cuid tus palabr admir del futbol independentista” #losmerenguesescozi,
433,“_princess ristomejid eres un poc catal cabron no per si sois unos rat que no soltais un eur ¡racanos” #losmerengesescozi,
434,eeuu y el fmi insatisfech con result de la cumbr euroep mañan en em mi analisis sobr la cumbr centr en las tar de rajoy,
435,grand nuestr quer estudi agri aun mas el fin d seman horribilis del madrid,
436,grand clubestudi som el prim equip de maaadr,
437,madr graci por vuestr cariñ ha sid un plac,
438,mañan por la mañan monton de asalari del pp volv a twitt estos dias no han ten tiemp estab de acueduct,
439,este es el nuev y fantasmagor hospital de toledo… vari años despues vea las fot - {link},
440,dvillepin candidat alas presidencial francesastfrencor acumul entre los dosns y dv,
441,y a proposit de la actual un recuerd a gregori ordoñez {link},
442,el era capaz de mejor esta cancion que tant vec le oi cant y esta es la mejor maner de record te quier {link},
444,buen nochesdesd disney os dig que os quier familiaaaa {link},
447,es un muñec per la verd es que lo han clava {link},
448,llam par salv a sus favorit es ahor en los comercial hoy se qued sol uno de cad equip,
449,sub las tarif de los taxis madrileñ una medi d % la baj de bander diurn sub cent y pas a eur,
450,esta tard firm #elprimernaufragi en el cort ingles de diagonal en barcelon a las con fot y dedicatori especial par tuiter,
454,interes articul de manriqu en el pais {link},
456,buen dias empiez una seman bastant dur de trabaj con conciert segu a esta altur de la tempor se conviert en un ret,
457,un dia mas en la puert de genov hoy portavoc y president de congres y sen much quiniel y poc certez,
458,carmenmorod que gener jaj,
461,interes la tribun de jos manuel garcia-margall sobr la cumbr de la ue {link},
464,confusion en junt direct pp zoid presid el xvii congres nacional de febrer per la comision organiz la dirig pedr sanz,
465,medeit de dond sac tant fras ingeni tien a gent explot en un almacen llam gent es muy gener por tu part,
467,castill y leon en cabez rt pepem marianorajoy propon a jesus pos com president del congres,
468,graci a tod lueg os contest particular,
469,enhorabuen a los president del congres y sen jesus pos y piogarc y a los portavoc alfons alons y jos manuel barreir,
472,cruz esta que de sal rt agusperezblanc miguel carcañ asi viv en la carcel muy buen el repor de cruzmorcill {link},
477,tod prepar par el gran espectacul el juev el ayunt va a cobr vid #sevillahoy {link},
478,a las en anotici zapater dic que no aprob la ley de las descarg en internet por la presion de las red social,
479,hav an amazing week everyonemuch peace//l seman comienz y bien fuerz par todspaz,
480,graci a los q pens q soy la period de los mas influyent despañ graciasenhorabuen a hermanntertsch pedroj_ramirez,
481,el hech de q nos valor es fantast par segu trabaj aun mas por la libert y la honradez en la inform graci,
482,cayepach mi nuev adquisicion literari ristomejid 'qu la muert te acompañe' {link} enhorabuen lo has encontr,
486,yo estoy bastant de acuerd con esta eleccion aquã­ la muj mã¡s atract {link} via elmund,
488,os dej una fot con mi prim gonzalococ que hoy es su cumpl a ver si se invit a algo p {link},
489,lun negr el d urdangarin a su abogado-portvz no se le ha ocurr otra cos q dec que esta indign coñ asambleari asegur,
490,mgilguerrer el abog esta indign xq el rey no le inform antes es indign tod lo segund tambien,
491,me bast y me sobr dic gllamazar tras qued de diput ras en el #congres {link} cayo_l portavoz de iun,
492,no os perd en el prad el nuev bruegel la fiest del vin restaur aqu maravill el vici y la virtud sigl xvi tan modern,
493,con alexand kwaniewski ex president poloni con poloni ten much que hac en europ hem perd algo el tiemp ganemosl,
495,hay pte portavoz portavoz adjunt e inclus portavoz rotatori y los he desempeñ el portavoz o no exist en cort diput si,
496,mgilguerrer ya se estren esta noch con una en otra radi,
499,celebr y dificultad en la zon euronytim {link},
500,{link} aqu os dej con el #videocapitul del conciert de jaen bes,
501,eguigur el social esta en el desiert sin cantimplor,
502,mañan es ador los porqu ni ide per siempr cre que me va a pas algo buen #,
505,mañan mas y segur segur segur que mejor #buenasnoch,
506,graci rt sanzchil * mexic rt alejandrosanz vot por oscarcruzvm hay que cont {link},
507,buen dias a tod asi amanec madr {link},
510,embarc que es gerundi y es mart y ademas llamadm valient destin barcelon,
513,rt japtapiasmi enhorabuen a quien tom posesion de su escañ en congres y sen y dan inici a x legislatur de nuestr democraci,
515,pregunt por que bermudez no se querell contr em respuest porqu en la instruccion de ese sumari se podr practic prueb,
516,empiez la primer reunion del grup popul en el congres los nuev diut lleg despist los veteran expect por si acas,
517,buen dias gent ador las noch en las que no estoy de servici com anoch disfrut del espectacul de pablopuyol_ y compañ,
